Artist,Category,VideoTitle,Time,ActivityLevel,LegAsana,BalanacingAsana,StretchAsana,CoreAsana
Yoga with Adriene,Mind,Magician Practice ,29 min,Active,"Low lunge+twist, half splits, lizard","Standing splits, elephant","Standing side body stretch, seated pigeon, r. cobbler",Three-legged dog + nose to knee
Yoga with Adriene,Mind,Yoga for Mood Swings,26 min,Gentle,,,"Seated twists, cat/cow, staff+forward fold, cow legs+forward fold, r. cobbler",
Yoga with Adriene,Mind,Moon  med,38/45 min,Active,"Low lunge, crescent lunge+twist, pyramid+forward fold",Balancing table+one-handed tiger,"Wide-legged sitting+twist, cobbler, cat/cow, downward dog leg lifts, one-legged pigeon+twist",
Yoga with Adriene,Mind,Yoga for New Beginnings ,18 min,Gentle,"Crescent lunge, half splits, lizard",,"cat/cow, table side body stretch, shoulder stretch",
Yoga with Adriene,Mind,Peaceful Warrior yoga ,27 min,Gentle,"Low lunge, lizard, half splits, warrior II, peaceful warrior, extended side angle",,"Cat/cow, open table twist, cow legs+twist","Three-legged dog, chair, dolphin"
Yoga with Adriene,Mind,Yoga to Gain Perspective ,35 min,Active,"Low lunge+twist, half splits, warrior II, reverse warrior","Balancing table, side plank","Cat/cow, heart to earth, sphinx, shoulder to earth, bunny","Forearm plank, three-legged dog + nose to knee, dolphin"
Yoga with Adriene,Mind,Yoga for PTSD,45 min,Gentle,,,"seated spinal flex, belly breathing, ujayi breath, knocking on heaven's door, standing side body stretch, petit bonhomme, wide-leg standing forward fold flow + heart opener, cobbler+forward fold + r","Chair va + heart opener, bridge"
Yoga with Adriene,Mind,Root Chakra Practise - Grounding Into Gratitude,34 min,Gentle,"Garland, warrior I, humble warrior",,Seated flex,
Yoga with Adriene,Mind,Yoga for Self-Discipline ,46 min,,"Low lunge, lizard, warrior I, high lunge","Eagle, froggy, crow","Cat/cow, standing side body stretch, pigeon+forward fold",Three-legged dog+nose to knee/knee to elbow
Yoga with Adriene,Mind,Yoga for Self Doubt,16 min,Gentle,"Low lunge spinal flow, gate var.",,"Alternate nostril breathing, seated twist, extended child spinal flow, staff+forward fold","Hovering table, reverse table flow"
Yoga with Adriene,Mind,Yoga for Self Love ,38 min,Active,"Three-legged dog, warrior I, humble warrior, high lunge alt",,"Cat/cow, heart to earth, tabletop twist, standing twist, hero, reclined twist, reclined cobbler","Hovering cat, bridge"
Yoga with Adriene,Mind,Self Love Yoga ,50 min,Active,"Crescent lunge +twist, low lunge+twist, half splits, warrior I, warrior II, peaceful warrior, high lunge+twist+reverse, garland","Standing one-legged tadasana, warrior III","Pranayama breathing, cat/cow, side body stretch, table twist, staff+forward fold, r. twist, hedgehog, happy baby, r. cobbler","Hovering at, plank taps, three-legged dog+nose to knee, chair+open twist, bridge"
Yoga with Adriene,Mind,Yoga for Self Respect,20 min,Gentle,"Lizard, half splits, garland",,"Side body stretch, spinal flex","Boat, nose to knee (DD)"
Yoga with Adriene,Mind,Yoga for Creating Space ,28 min,Gentle,"Crescent lunge, low lunge+twist, warrior I",,"Cat/cow, standing side body stretch, standing wide-leg twists","Three-legged dog, plank"
Yoga with Adriene,Mind,Sun  med,32/42 min,Active,"Low lunge+twist, high lunge+eagle round, Warrior II, peaceful warrior, garland+twist","Crow, three-legged dog arm balance","Seated twist, staff+forward fold","Three-legged dog+nose-to-knee/knee-to-elbow, boat"
Yoga with Adriene,Mind,Strength and Focus ,43 min,Vigorous,"Low lunge, warrior I+twist",Crow,"Alternative nostril breathing, cat/cow, hero","Three-legged dog+knee to elbow variations, plank"
Yoga with Adriene,Mind,Yoga for Stress Management,32 min,Gentle,Low lunge+twist,,"seated side body stretch, seated twist, cat/cow, tabletop hip circles, staff+twist, windshield wiper legs","Hovering cat, plank, bridge"
Yoga with Adriene,Mind,Stress Melt Yoga Break ,26 min,Gentle,Low lunge,,"seated spinal flex, seated side body stretch, cat/cow, tabletop hip circles",Plank
Yoga with Adriene,Mind,Yoga for Stress Relief,37 min,Gentle,,Eagle,"Cat/cow, head to earth, cobra, shoulder to earth",
Yoga with Adriene,Mind,Wind Down Yoga ,25 min,Gentle,"Crescent lunge + twist, extended side angle prep",Balancing table flow,"Windshield wiper legs, cat/cow, foot stretch, cobbler+forward fold, r. twist",Boat
Yoga with Adriene,Mind,Yoga for Winter Blues,28 min,Gentle,Crescent lunge,,"Hedgehog, seated twist, cat/cow, staff+twist","Hovering cat, chair, bridge"
Yoga with Adriene,Mind,Yoga for Zombies,15 min,Gentle,"Gate flow, wild thing",Side plank,"Kapalabhatti breath, neck circles, arm stretch+staff","Boat, mermaid dips"
Yoga with Adriene,Body,Balancing Flow ,33 min,Active,"Three-legged dog, low lunge, warrior I, warrior II, peaceful warrior, extended side angle, low lunge+twist, downward dog twist","One-legged balance, side plank","seated side stretches, seated twist, cat/cow, child, hero+reclined, wide-legged seated flow+side stretch",
Yoga with Adriene,Body,Yoga for Beginners,43 min,,,,,
Yoga with Adriene,Body,Yoga for Beginners - Basics,41 min,,,,,
Yoga with Adriene,Body,Yoga for Complete Beginners,23 min,,,,,
Yoga with Adriene,Body,Yoga for Healthy Blood Flow ,20 min,Gentle,"Low lunge+twist, crescent lunge, half splits",Balancing table,"Cobbler, windshield wiper legs, cat/cow","R. raised leg crunches, boat + Russian twists, hovering table"
Yoga with Adriene,Body,Yoga Flow - Body Moving ,19 min,Gentle,"High lunge, low lunge+twist, warrior I, warrior II, ext side angle, triangle, reverse triangl, reverse warrior",,Standing wide-legged forward fold+twist,"Three-legged dog +knee to elbows/knee circles, leaning back on knees"
Yoga with Adriene,Body,Yoga for Butt and Thighs ,29 min,Active,"Low lunge, high lunge + hover","balancing table, warrior III",,"plank, three-legged dog + knee to elbow, chair + twist"
Yoga with Adriene,Body,Chair yoga,17 min,Gentle,Warrior II,,"Foot and leg stretches, pigeon, twist, forward fold",
Yoga with Adriene,Body,Compassion yoga - Core Strength Vinyasa ,58 min,Active,"Low lunge+twist, half splits, warrior I flow, warrior II, peaceful warrior, extended side angle, high lunge","Hummingbird, warrior III, one-legged mountain, crow","Cat/cow, heart to eath, sphinx, r. robbler, r. twist","Hovering cat, forearm plank, three-legged dog + nose to knee, chair, boat, bridge"
Yoga with Adriene,Body,Yoga for Core (and Booty!),28 min,Active,,Lifted frog,"Standing twists, standing spinal flex, side body stretch, gorilla, staff","Plank pushups, hurdles, squats, balancing table pulses, oblique crunches"
Yoga with Adriene,Body,Core Power Wake Up,23 min,Vigorous,,,"Cat/cow, tabletop leg circles, seated twist","Plank, three-legged dog hip circles+ nose to knee, mermaid dips, mountain climbers, bridge, r. leg pulses, r. leg raises"
Yoga with Adriene,Body,Core Strength Ritual,22 min,Vigorous,,Forearm side plank alt,"Reclined cow legs, seated twist","Bridge, sit ups, Simba bicycle alt, butterfly crunches, bicycles, reclined cow leg twist crunches, forearm plank+toe taps"
Yoga with Adriene,Body,Deepen and Flow ,52 min,Vigorous,"Crescent lunge+twist, half splits, low lunge+twist, warrior I, humble warrior, high lunge, pyramid, downward dog twist, garland","Chair+standing pigeon, warrior III, one-legged mountain","Cat/cow, heart to earth, sphinx, reclined twist, happy baby, cobbler","Three-legged dog+nose-to-knee/knee-to-elbow, boat alt, bridge"
Yoga with Adriene,Body,Deep Stretch yoga - Total Body Yoga ,45 min,Gentle,"Low lunge+twist, lizard+bind",,"Hedgehog, wind-relieving pose, one-legged happy baby, r. pigeon, r. twist, seated side body stretch, cat/cow, frog stretch, cow legs, seated wide legs","R. pigeon leg lifts, three-legged dog"
Yoga with Adriene,Body,Dorm Room Yoga,32 min,Gentle,"Low lunge, extended side angle",,"Wind-relieving pose + twist, hedgehog, foetus, seated pigeon+forward fold, seated side stretch, r. cobbler",Boat alt
Yoga with Adriene,Body,Foundations of Flow,19 min,Gentle,"Low lunge, high lunge",Toe balance,"Cat/cow, tabletop twist",
Yoga with Adriene,Body,Yoga for Flexibility,16 min,Gentle,,,"Neck stretches, arm stretch, seated spinal flex, staff+forward fold, r. leg stretch, r. pigeon, half happy babt, supine twist",
Yoga with Adriene,Body,Freedom Flow ,16 min,Gentle,"Low lunge, high lunge, crescent lunge, warrior I, warrior II, reverse warrior, extended side angle",,Chair twists,
Yoga with Adriene,Body,Freedom Flow 2 ,19 min,Active,"Three-legged dog, warrior II, extended side angle, peaceful warrior, high lunge+twist",headstand,"cat/cow, reclined twist, stirrup",
Yoga with Adriene,Body,Freedom Glow ,28 min,Active,"Low lunge+twist, half splits, high lunge+flow, WII+flow, peaceful warrior, extended side angle",,"r. cobbler, r. twist, hedgehog","Three-legged dog+nose-to-knee/knee-to-elbow, chair, yogi bicycles"
Yoga with Adriene,Body,Fuego,45 min,Vigorous,"Crescent lunge+wist, high lunge, warrior II, peaceful warrior, butt kicks, r. twist, happy baby",,"Cat/cow, tabletop open twist+shoulder to earth, r. cobbler","Kappalabhatti, hurdles+vinyasas, chair, three-legged dog+nose to knee/knee to elbow, plank shoulder taps, mountain climbers, fallen triangle, wild thing, standing toe taps, high knees, dolphin, boat flow, butterfly crunches"
Yoga with Adriene,Body,Gentle Yoga,27 min,Gentle,Low lunge+twist,Balancing table,"Table-top twist, heart-to-earth, sphinx, cat/cow, hero, seated twist, reclined one-legged twist, reclined cobbler",
Yoga with Adriene,Body,Hands Free Yoga ,16 min,Active,"High lunge, triangle, high lunge+mountain alt",,,Chair pulses
Yoga with Adriene,Body,Healthy Body yoga,20 min,Gentle,"Crescent lunge, humble warrior",Balancing table,"Cat/cow, widelegged standing forward fold, star",
Yoga with Adriene,Body,Heart Chakra Yoga for Beginners ,23 min,Gentle,"Crescent lunge, low lunge+twist",,"Cat/cow, heart to earth, sphinx, shoulder to earth, hedgehog","Hovering cat, three-legged-dog + nose to knee, bridge"
Yoga with Adriene,Body,Heart and Hips ,26 min,Gentle,,,"Siddhasana+side body stetch, half camel, seated pigeon, r. raised leg+opener, r. cobbler","Boat, bridge"
Yoga with Adriene,Body,Hip Flow ,20 min,Gentle,"High lunge, lizard, low lunge, ""ninja"", goddess, garland","Tree, headstand","Side body stretch, wide-leg standing +forward fold+twist, r. twist, cobbler",Three-legged dog hip circles
Yoga with Adriene,Body,A Little Goes A Long Way,20 min,Gentle,,,"Staff+forward fold, seated twist, tabletop eye of the needle",
Yoga with Adriene,Body,On the Go Flow ,17 min,Active,"Low lunge+twist, high lunge, warrior II, peaceful warrior, triangle, garland, goddess +eagle arms flow",Crow,Seated twist,"Three-legged dog+nose-to-knee, chair +twist"
Yoga with Adriene,Body,Pillar of Power ,35 min,Active,"Low lunge + twist, crescent lunge, high lunge+twist","Standing one-legged tadasana, warrior III","seated twist, cow legs, wide-legged sitting, staff+forward fold, happy baby","Hovering cat, three-legged dog + nose to knee, boat"
Yoga with Adriene,Body,Pranayama Potion,21 min,Gentle,,,"Siddhasana, neck circles, side body stretch, pranayama breathing",
Yoga with Adriene,Body,Yoga for Relaxation ,33 min,Gentle,,,"Lotus, side body stretch, siddhasana+forward fold, seated wide leg+side body stretch+forward fold, cobbler+forward fold, cat/cow, sphinx+open hip, r. twist, extended child's pose, one-legged pigeon+forward fold, r. cobbler stretch, happy baby",
Yoga with Adriene,Body,Yoga for Seniors/Slow and Gentle Yoga,28 min,Gentle,"Warrior II flow, rev. Triangle",,"seated spinal flex, seated twist, mountain twists, wide-legged standing+forward fold",One-legged table
Yoga with Adriene,Body,Shakti Power Flow ,58 min,Active,"Low lunge, crescent lunge+twist, gate, high lunge+twist+reverse, peaceful warrior, warrior II, extended side angle, wide-legged standing+forward fold+twist, goddess",,"Cat/cow, cobbler, seated twist, reclined one-legged pigeon","Hovering cat, three-legged dog+nose-to-knee/knee-to-elbow, chair+twist, bound lifted cobbler?, yogi bicycles, bridge"
Yoga with Adriene,Body,Side Body Flow ,33 min,Active,"Low lunge+twist, Warrior I, warrior II, peaceful warrior, extended side angle",Side plank,"Cat/cow, r. twist","Three-legged dog + nose to knee, boat"
Yoga with Adriene,Body,Travel Yoga - Side Body Stretch ,22 min,Gentle,"Low lunge, warrior II, extended side angle",,"Seated side stretch, cat/cow, mountain stretch",
Yoga with Adriene,Body,Stay Open Flow ,47 min,Vigorous,"Crescent lunge+HL twist, pyramid+forward fold, low lunge, warrior I, humble warrior, warrior II, peaceful warrior, high lunge, downward dog twist, garland","Warrior III, crow/inversion, elephant, figure 8","Standing side body stretch, cat/cow, gorilla, staff, seated twist, r. twist","Side leg lefts, three legged dog+nose-to-knee/knee-to-elbow alt, tripod, locus, bridge/wheel"
Yoga with Adriene,Body,Yoga for Strength - 40 min vinyasa ,38 min,Vigorous,"Crescent lunge, low lunge+twist, high lunge+twist, goddess+eagle arms, Warrior II, peaceful warrior, extended side angle, garland","One-legged chair twist, standing splits, crow","Cat/cow, seated forward fold, recline cobbler, reclined twist, hedgehog, happy baby, one-legged reclined pigeon","Nose to knee, chair pose+twist, bridge/wheel/plough, reclined twist, scissors+toe touch, pulses"
Yoga with Adriene,Body,Strength with Soul ,20 min,Active,"Low lunge+twist, half splits, warrior I, triangle+forward fold, warrior II, peaceful warrior, extended side angle, reverse triangle, high lunge+twist, squats","Balancing three-legged dog, warrior III","seated Spinal flow, seated twist","Three-legged dog+nose to knee, plank pushups, boat flow, r. leg lifts, butterfly crunches"
Yoga with Adriene,Body,Yoga Stretch,22 min,Gentle,"Low lunge, gate",Balancing table+nose to knee,"Head to knee, reverse table, cat/cow, shoulder to earth, reclined twist, reclined cobbler",
Yoga with Adriene,Body,Third Chakra Yoga ,39 min,Gentle,"Low lunge, warrior I, warrior II, peaceful warrior, wide-legged forward fold+twist",Warrior III,"diaphragmic breathing, cobbler, seated twist, reclined twist, reclined cobbler","Hovering cat, rocking horse, boat pose, breath of fire"
Yoga with Adriene,Body,Tranquilo ,28 min,Gentle,"Warrior II, extended side angle+bind, triangle+reverse, peaceful warrior, pyramid","Standing splits, half moon","Side body stretch, seated twist, staff+forward fold, cat/cow, knocking on heaven's door, hero+twist, r. pigeon, hedgehog, stirrup, windshield wiper legs","Three-leggeddog, locust, bow"
Yoga with Adriene,Body,Yoga for Travel,23 min,Gentle,"Half goddess stretch, froggy",,"Standing side body stretch, standing crescent stretch, standing forward fold bind + twist, half stirrup, windshield wiper legs",Bridge
Yoga with Adriene,Body,Intro to Yin,26 min,Gentle,,,"Cobbler, staff, reclined one-legged pigeon, sphinx",Bridge
Yoga with Adriene,Body healing,Yoga for Back Pain,30 min,Gentle,,,"Cat/cow, reclined pigeon, one-legged pigeon, reclined twist",
Yoga with Adriene,Body healing,Detox Yoga Flow ,21 min,Active,"low lunge+twist, high lunge+twist, warrior I, humble warrior, garland+twist",,"seated twist, seated side body stretch, staff pose+twist+forward fold, reclined twist",chair pose+twist
Yoga with Adriene,Body healing,Yoga for Diabetes,29 min,Gentle,,,"seated twist, staff+forward fold, heart to earth, sphinx, r. cobbler","Bow, bridge, plough"
Yoga with Adriene,Body healing,Yoga for Digestion - Flow ,25 min,Gentle,"Low lunge+twist, high lunge+twist, warrior II, peaceful warrior, extended side angle",,"Cat/cow, downward dog+twist","three-legged dog+nose-to-knee, chair pose+twist, yogi bicycles"
Yoga with Adriene,Body healing,Yoga for Healthy Digestion,16 min,Gentle,Low lunge+twist,,"Seated and reclined twist, cat/cow, staff+forward fold, wind-relieving",
Yoga with Adriene,Body healing,Yoga for the Feet,30 min,Gentle,Garland,,"Foot rolls, foot presses, standing forward fold, seated forward fold, hero, extended child's pose, cobbler, staff",
Yoga with Adriene,Body healing,Yoga for Hamstrings ,23 min,Gentle,Low lunge,,"Raised leg stretches, reclined cobbler, low lunge stretch",
Yoga with Adriene,Body healing,Yoga for Hangovers,22 min,Gentle,,Headstand,"Staff+forward fold, seated twist, cobbler, wind-relieving",
Yoga with Adriene,Body healing,Yoga for Headaches,30 min,,,,,
Yoga with Adriene,Body healing,Healing practise,45 min,Gentle,"Low lunge,half splits",Balancing table,"seated side body stretch, seated twist, cat/cow, heart to earth, sphinx",hovering cat
Yoga with Adriene,Body healing,Yoga for Hips and Lower Back Release  ,23 min,Gentle,Garland,,"seated twist, head to knee, cobbler+forward fold, staff+forward fold, standing forward fold, r. eagle leg twist, happy baby, windshield wiper legs",Boat
Yoga with Adriene,Body healing,Yoga for Sensitive Knees,31 min,Gentle,"Warrior II, peaceful warrior, extended sige angle",,"Kneww flexing, r. cobbler, side body stretch, wide-legged standing+forward fold","Reclined cross-body left pulses, plank shoulder taps, bridge"
Yoga with Adriene,Body healing,Yoga for Healthy Liver ,29 min,Gentle,"Low lunge, high lunge+twist",,"Staff+forward fold, seated twist, cat/cow, reclined dancer on stomach, cow legs","Hovering cat, three legged dog +noseto knee"
Yoga with Adriene,Body healing,Yoga for Lower Back Pain ,15 min,Gentle,"Lizard, half splits",,"R. knee circles, r./seated spinal flex, standing forward fold, r. twist",
Yoga with Adriene,Body healing,Yoga for Migraines,23 min,Gentle,,,"Neck stretch, buny, shoulder to earth, staff+forward fold, cobbler+forward fold",
Yoga with Adriene,Body healing,Movement Medicine - Calm,17 min,Gentle,"Half gate, half splits",,"Back stretch, cobbler, side body stretch, staff+forward fold, heart to earth, hero, eagle arms","Forearm plank, kneeling lean-back pulses"
Yoga with Adriene,Body healing,Movement Medicine - Energy ,17 min,Active,"Low lunge, crescent lunge, half splits, high lunge",Side plank,"Hero, seated twist",Three-legged dog + knee to elbow
Yoga with Adriene,Body healing,Neck and Shoulder Relief,17 min,Gentle,,,"Neck stretch, spinal felx, shoulder stretch, seated leg twist, arm stretch",
Yoga with Adriene,Body healing,Yoga for Pelvic Floor,38 min,Gentle,Garland,,"Cheerleader legs + twist, cobbler+forward fold, r. cobbler, r. twist","Bride, cobbler bridge, hovering table, r. leg lifts, kappalabhati breath"
Yoga with Adriene,Body healing,Yoga for Psoas ,21 min,Gentle,"Crescent lunge, low lunge, pyramid, extended side angle, reverse triangle, warrior II, lizard+bind",,"Gate cat/cow, gate, sphinx, one-legged pigeon, r. twist","Sphinx plank, three-legged dpg+nose to knee, mountain climbers"
Yoga with Adriene,Body healing,Yoga Rinse ,17 min,Gentle,"Low lunge, crescent lunge",,"Standing wide-legged forward fold+twist, wind-relieving pose+twist, r. cobbler",Low lunge switches
Yoga with Adriene,Body healing,Yoga for Sciatica,31 min,Gentle,,,"R. leg raises, r. one-legged pigeon, r. cow legs, seated twist",
Yoga with Adriene,Body healing,Yoga for Scoliosis ,26 min,Gentle,"Low lunge, crescent lunge+twist",Balancing table,"Staff+twist+forward fold, cat/cow, happy baby, r. twist","Plank taps, locust, bridge"
Yoga with Adriene,Body healing,Yoga for When You Are Sick,20 min,,,,,
Yoga with Adriene,Body healing,Yoga for When You're Sore,17 min,Gentle,,"dancer, one-legged open stretches","Wrist stretches, volcano, one-legged calf stretches",
Yoga with Adriene,Body healing,Yoga for the Spine,37 min,Gentle,,Toe balance+twist,"Seated twist, cat/cow, table crescent, mountain twists, standing wide-leg+forward fold+twist, staff, r. twist/bind, r. cobbler","Table+nose to knee, down dog to plank flow, bridge"
Yoga with Adriene,Body healing,Yoga+Pranayama for the Spine,28 min,Gentle,,"Toe stand, crow","seated side body stretch +forward fold, seated spinal flex, wide leg standing +forward fold+twist, r. head to knee, r. twist, r. cobbler","hovering cat, three legged dog+nose to knee, boat alt"
Yoga with Adriene,Body healing,Yoga for Text Neck,28 miin,Gentle,,,"Neck circles, heart to earth, sphinx, prone twist, prone twist, open table twist + shouder to earth, camel, fish","Plank, locust, bow"
Yoga with Adriene,Body healing,Yoga for Tired Legs ,29 min,Gentle,"Crescent lunge+twist, lizard",Balancing table,"Wind-relievinh pose, staff+forward fold, seated twist, cow legs, r. cobbler",
Yoga with Adriene,Body healing,Yoga Wash (Detox) ,23 min,Gentle,"Low lunge+twist flow, goddess+twist flow",Eagle,"Heart opening standing forward fold, standing wide-legged forward fold flow+twist",
Yoga with Adriene,Body healing,Yoga for Women,34 min,,,,,
Yoga with Adriene,Body healing,Yoga for Wrist Pain,22 min,,,,,
Yoga with Adriene,Yoga for a time of day,Bedtime Yoga ,23 min,Gentle,,,"Head-to-knee, cobbler, reclined cobbler, hedgehog, fish","Bridge, plough"
Yoga with Adriene,Yoga for a time of day,Bedtime Yoga,36 min,Gentle,,,"Neck stretches, seated side body stretch, sadhasana +forward fold, cobbler+forward fold, froggy+forward fold, cat/cow, wind-relieving pose, r. twist, happy baby",Bridge
Yoga with Adriene,Yoga for a time of day,Happy Birthday Yoga ,27 min,Gentle,"Warrior I, Warrior II, peaceful warrior",,"Seated twist, cat/cow, heart to earth, tabletop twist, shoulder to earth, pigeon, cow legs, cobbler",boat alt
Yoga with Adriene,Yoga for a time of day,Lunch Break Yoga,19 min,,,,,
Yoga with Adriene,Yoga for a time of day,Yoga Morning Fresh ,36 min,Gentle,"Low lunge+twist, three-legged dog, warrior I, warrior II, extended side angle, peaceful warrior, reverse triangle, rev. triangle",,"Siddhasana+forward fold, cat/cow, knocking on Heaven's door, locust, seated twist, staff, cobbler+forward fold","Mountain climbers, boat"
Yoga with Adriene,Yoga for a time of day,Morning Yoga - Energetic Morning Sequence ,24 min,Active,"Low lumge, crescent lunge, high lunge",,"Hero+twist, cat/cow",Three-legged dog+nose-to-knee/knee-to-elbow
Yoga with Adriene,Yoga for a time of day,Morning Yoga - Gentle Sequence,21 min,Gentle,,,"R. stretches, hedgehog, r. cobbler, seated stretches, standing side body stretches",
Yoga with Adriene,Yoga for a time of day,Morning Yoga to Start Your Day,27 min,Gentle,"Low lunge, garland",,Standing wide-legged forward fold+twist,"Hovering cat, alt leg presses, bicycles, bridge"
